Неделя,Продажи упаковки,Россия 1,Домашний,НТВ,Первый Канал,Пятый Канал,ТВ Центр,ТВ-3,Рен ТВ,Звезда,Нишевые каналы,Реклама в прессе,Конкурент1,Конкурент2,Конкурент3,Конкурент4,Цена бренда,Средняя цена в категории,Неделя,Lag 4,Lag 5,Lag 6,Lag 7,Lag 8,Lag 9,Lag 10,Lag 11,Lag 12
2010-01-04,7092.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,104,1,,,,,,,,,
2010-01-11,8664.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,100,2,,,,,,,,,
2010-01-18,7526.0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,53,97,3,,,,,,,,,
2010-01-25,9165.0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,55,103,4,,,,,,,,,
2010-02-01,8713.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,52,101,5,7092.0,,,,,,,,
2010-02-08,7489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,101,6,8664.0,7092.0,,,,,,,
2010-02-15,8595.0,46,10,0,0,0,0,0,0,0,0,6,0,0,0,0,53,104,7,7526.0,8664.0,7092.0,,,,,,
2010-02-22,7798.0,43,10,0,0,0,0,0,0,0,0,0,0,0,0,0,53,100,8,9165.0,7526.0,8664.0,7092.0,,,,,
2010-03-01,9154.0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,52,105,9,8713.0,9165.0,7526.0,8664.0,7092.0,,,,
2010-03-08,8317.0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,52,103,10,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,,,
2010-03-15,8671.0,39,11,0,0,0,0,0,0,0,0,0,0,8,13,0,53,103,11,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,,
2010-03-22,8837.0,46,9,0,0,0,0,0,0,0,0,0,0,10,6,0,53,103,12,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0,
2010-03-29,7389.0,0,0,0,0,0,0,0,0,0,0,22,0,10,8,0,56,109,13,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0,7092.0
2010-04-05,8215.0,0,0,0,0,0,0,0,0,0,0,24,0,13,12,0,56,109,14,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0,8664.0
2010-04-12,8121.0,0,0,0,0,0,0,0,0,0,0,34,0,7,19,0,56,111,15,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0,7526.0
2010-04-19,8120.0,0,0,0,0,0,0,0,0,0,0,36,0,0,6,0,55,107,16,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0,9165.0
2010-04-26,7494.0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,55,108,17,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0,8713.0
2010-05-03,6077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,106,18,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0,7489.0
2010-05-10,7427.0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,56,114,19,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0,8595.0
2010-05-17,7440.0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,56,110,20,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0,7798.0
2010-05-24,6449.0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,58,112,21,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0,9154.0
2010-05-31,6309.0,0,0,0,0,0,0,0,0,0,0,27,62,0,0,3,58,109,22,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0,8317.0
2010-06-07,7078.0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,4,59,110,23,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0,8671.0
2010-06-14,7886.0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,4,60,112,24,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0,8837.0
2010-06-21,7981.0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,5,59,110,25,6449.0,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0,7389.0
2010-06-28,7814.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,59,109,26,6309.0,6449.0,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0,8215.0
2010-07-05,7525.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,61,108,27,7078.0,6309.0,6449.0,7440.0,7427.0,6077.0,7494.0,8120.0,8121.0
2010-07-12,7653.0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,61,108,28,7886.0,7078.0,6309.0,6449.0,7440.0,7427.0,6077.0,7494.0,8120.0
2010-07-19,8038.0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,13,62,110,29,7981.0,7886.0,7078.0,6309.0,6449.0,7440.0,7427.0,6077.0,7494.0
2010-07-26,7868.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,63,108,30,7814.0,7981.0,7886.0,7078.0,6309.0,6449.0,7440.0,7427.0,6077.0
2010-08-02,7779.0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,63,105,31,7525.0,7814.0,7981.0,7886.0,7078.0,6309.0,6449.0,7440.0,7427.0
2010-08-09,7328.0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,64,100,32,7653.0,7525.0,7814.0,7981.0,7886.0,7078.0,6309.0,6449.0,7440.0
2010-08-16,7592.0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,65,101,33,8038.0,7653.0,7525.0,7814.0,7981.0,7886.0,7078.0,6309.0,6449.0
2010-08-23,8985.0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,66,104,34,7868.0,8038.0,7653.0,7525.0,7814.0,7981.0,7886.0,7078.0,6309.0
2010-08-30,8810.0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,63,104,35,7779.0,7868.0,8038.0,7653.0,7525.0,7814.0,7981.0,7886.0,7078.0
2010-09-06,8576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,62,102,36,7328.0,7779.0,7868.0,8038.0,7653.0,7525.0,7814.0,7981.0,7886.0
2010-09-13,8803.0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,11,62,106,37,7592.0,7328.0,7779.0,7868.0,8038.0,7653.0,7525.0,7814.0,7981.0
2010-09-20,8353.0,0,0,0,0,0,0,0,0,0,0,29,37,0,0,5,62,111,38,8985.0,7592.0,7328.0,7779.0,7868.0,8038.0,7653.0,7525.0,7814.0
2010-09-27,7796.0,0,0,0,0,0,0,0,0,0,0,53,25,0,0,0,63,114,39,8810.0,8985.0,7592.0,7328.0,7779.0,7868.0,8038.0,7653.0,7525.0
2010-10-04,8815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,65,112,40,8576.0,8810.0,8985.0,7592.0,7328.0,7779.0,7868.0,8038.0,7653.0
2010-10-11,8590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,65,111,41,8803.0,8576.0,8810.0,8985.0,7592.0,7328.0,7779.0,7868.0,8038.0
2010-10-18,10411.0,45,10,0,0,0,0,0,0,0,0,0,0,0,14,0,67,109,42,8353.0,8803.0,8576.0,8810.0,8985.0,7592.0,7328.0,7779.0,7868.0
2010-10-25,11837.0,59,9,0,0,0,0,0,0,0,0,0,0,0,14,0,67,111,43,7796.0,8353.0,8803.0,8576.0,8810.0,8985.0,7592.0,7328.0,7779.0
2010-11-01,10599.0,0,2,0,0,0,0,0,0,0,0,46,0,0,14,8,67,110,44,8815.0,7796.0,8353.0,8803.0,8576.0,8810.0,8985.0,7592.0,7328.0
2010-11-08,13058.0,0,0,0,0,0,0,0,0,0,0,52,0,0,17,8,68,118,45,8590.0,8815.0,7796.0,8353.0,8803.0,8576.0,8810.0,8985.0,7592.0
2010-11-15,11556.0,48,0,0,0,0,0,0,0,0,0,25,0,0,18,10,68,115,46,10411.0,8590.0,8815.0,7796.0,8353.0,8803.0,8576.0,8810.0,8985.0
2010-11-22,11120.0,100,0,0,0,0,0,0,0,0,0,32,0,0,0,9,67,116,47,11837.0,10411.0,8590.0,8815.0,7796.0,8353.0,8803.0,8576.0,8810.0
2010-11-29,10289.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,68,118,48,10599.0,11837.0,10411.0,8590.0,8815.0,7796.0,8353.0,8803.0,8576.0
2010-12-06,10504.0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,22,66,121,49,13058.0,10599.0,11837.0,10411.0,8590.0,8815.0,7796.0,8353.0,8803.0
2010-12-13,13284.0,42,10,0,56,0,0,0,0,0,0,12,0,0,0,11,67,121,50,11556.0,13058.0,10599.0,11837.0,10411.0,8590.0,8815.0,7796.0,8353.0
2010-12-20,11851.0,48,11,0,0,0,0,0,0,0,0,66,0,0,0,0,68,121,51,11120.0,11556.0,13058.0,10599.0,11837.0,10411.0,8590.0,8815.0,7796.0
2010-12-27,9911.0,9,0,0,6,0,0,0,0,0,0,49,0,0,0,0,68,120,52,10289.0,11120.0,11556.0,13058.0,10599.0,11837.0,10411.0,8590.0,8815.0
2011-01-03,11875.0,42,0,0,67,0,0,0,0,0,0,0,0,0,0,0,69,116,1,10504.0,10289.0,11120.0,11556.0,13058.0,10599.0,11837.0,10411.0,8590.0
2011-01-10,14856.0,52,0,0,44,0,0,0,0,0,0,0,0,0,0,0,67,112,2,13284.0,10504.0,10289.0,11120.0,11556.0,13058.0,10599.0,11837.0,10411.0
2011-01-17,14094.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69,122,3,11851.0,13284.0,10504.0,10289.0,11120.0,11556.0,13058.0,10599.0,11837.0
2011-01-24,13976.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,70,127,4,9911.0,11851.0,13284.0,10504.0,10289.0,11120.0,11556.0,13058.0,10599.0
2011-01-31,11832.0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,18,70,129,5,11875.0,9911.0,11851.0,13284.0,10504.0,10289.0,11120.0,11556.0,13058.0
2011-02-07,11148.0,0,7,0,0,0,0,0,0,0,0,34,0,0,0,17,69,127,6,14856.0,11875.0,9911.0,11851.0,13284.0,10504.0,10289.0,11120.0,11556.0
2011-02-14,12761.0,0,4,0,0,0,0,0,0,0,0,73,0,0,21,9,69,132,7,14094.0,14856.0,11875.0,9911.0,11851.0,13284.0,10504.0,10289.0,11120.0
2011-02-21,11606.0,0,0,0,0,0,0,0,0,0,0,41,0,0,29,2,70,130,8,13976.0,14094.0,14856.0,11875.0,9911.0,11851.0,13284.0,10504.0,10289.0
2011-02-28,13878.0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,26,70,131,9,11832.0,13976.0,14094.0,14856.0,11875.0,9911.0,11851.0,13284.0,10504.0
2011-03-07,13578.0,53,0,0,0,0,0,0,0,0,0,13,0,0,0,22,71,128,10,11148.0,11832.0,13976.0,14094.0,14856.0,11875.0,9911.0,11851.0,13284.0
2011-03-14,14315.0,53,0,0,0,0,0,0,0,0,0,10,0,0,0,2,70,122,11,12761.0,11148.0,11832.0,13976.0,14094.0,14856.0,11875.0,9911.0,11851.0
2011-03-21,14885.0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,71,123,12,11606.0,12761.0,11148.0,11832.0,13976.0,14094.0,14856.0,11875.0,9911.0
2011-03-28,15715.0,0,0,0,74,0,0,0,0,0,0,11,0,0,0,1,72,129,13,13878.0,11606.0,12761.0,11148.0,11832.0,13976.0,14094.0,14856.0,11875.0
2011-04-04,14872.0,0,0,0,48,0,0,0,0,0,0,40,2,0,0,27,74,124,14,13578.0,13878.0,11606.0,12761.0,11148.0,11832.0,13976.0,14094.0,14856.0
2011-04-11,13560.0,0,0,0,0,0,0,0,0,0,0,57,56,0,0,16,72,120,15,14315.0,13578.0,13878.0,11606.0,12761.0,11148.0,11832.0,13976.0,14094.0
2011-04-18,11270.0,0,0,0,0,0,0,0,0,0,0,19,70,0,0,0,75,119,16,14885.0,14315.0,13578.0,13878.0,11606.0,12761.0,11148.0,11832.0,13976.0
2011-04-25,12281.0,0,0,0,0,0,0,0,0,0,0,100,77,0,0,0,72,120,17,15715.0,14885.0,14315.0,13578.0,13878.0,11606.0,12761.0,11148.0,11832.0
2011-05-02,10284.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,116,18,14872.0,15715.0,14885.0,14315.0,13578.0,13878.0,11606.0,12761.0,11148.0
2011-05-09,10587.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72,118,19,13560.0,14872.0,15715.0,14885.0,14315.0,13578.0,13878.0,11606.0,12761.0
2011-05-16,10052.0,36,8,0,0,0,0,0,0,0,0,3,0,0,0,11,70,118,20,11270.0,13560.0,14872.0,15715.0,14885.0,14315.0,13578.0,13878.0,11606.0
2011-05-23,10650.0,37,7,0,0,0,0,0,0,0,0,0,0,0,0,0,71,119,21,12281.0,11270.0,13560.0,14872.0,15715.0,14885.0,14315.0,13578.0,13878.0
2011-05-30,10641.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,73,122,22,10284.0,12281.0,11270.0,13560.0,14872.0,15715.0,14885.0,14315.0,13578.0
2011-06-06,10399.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73,118,23,10587.0,10284.0,12281.0,11270.0,13560.0,14872.0,15715.0,14885.0,14315.0
2011-06-13,10050.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,74,121,24,10052.0,10587.0,10284.0,12281.0,11270.0,13560.0,14872.0,15715.0,14885.0
2011-06-20,9176.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,123,25,10650.0,10052.0,10587.0,10284.0,12281.0,11270.0,13560.0,14872.0,15715.0
2011-06-27,10008.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,124,26,10641.0,10650.0,10052.0,10587.0,10284.0,12281.0,11270.0,13560.0,14872.0
2011-07-04,10581.0,62,11,0,0,0,0,0,0,0,0,0,0,0,0,3,73,121,27,10399.0,10641.0,10650.0,10052.0,10587.0,10284.0,12281.0,11270.0,13560.0
2011-07-11,10837.0,49,9,0,51,0,0,0,0,0,0,0,0,0,0,2,74,121,28,10050.0,10399.0,10641.0,10650.0,10052.0,10587.0,10284.0,12281.0,11270.0
2011-07-18,11131.0,2,0,0,54,0,0,0,0,0,0,0,0,0,0,3,74,123,29,9176.0,10050.0,10399.0,10641.0,10650.0,10052.0,10587.0,10284.0,12281.0
2011-07-25,10744.0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,75,124,30,10008.0,9176.0,10050.0,10399.0,10641.0,10650.0,10052.0,10587.0,10284.0
2011-08-01,11753.0,94,13,0,0,0,0,0,0,0,0,47,0,0,0,4,76,128,31,10581.0,10008.0,9176.0,10050.0,10399.0,10641.0,10650.0,10052.0,10587.0
2011-08-08,12574.0,36,8,0,59,0,0,0,0,0,0,0,0,0,0,4,78,126,32,10837.0,10581.0,10008.0,9176.0,10050.0,10399.0,10641.0,10650.0,10052.0
2011-08-15,12331.0,31,0,0,47,0,0,0,0,0,0,0,0,0,0,3,78,124,33,11131.0,10837.0,10581.0,10008.0,9176.0,10050.0,10399.0,10641.0,10650.0
2011-08-22,12042.0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,127,34,10744.0,11131.0,10837.0,10581.0,10008.0,9176.0,10050.0,10399.0,10641.0
2011-08-29,10392.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,127,35,11753.0,10744.0,11131.0,10837.0,10581.0,10008.0,9176.0,10050.0,10399.0
2011-09-05,10053.0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,83,128,36,12574.0,11753.0,10744.0,11131.0,10837.0,10581.0,10008.0,9176.0,10050.0
2011-09-12,9639.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,78,135,37,12331.0,12574.0,11753.0,10744.0,11131.0,10837.0,10581.0,10008.0,9176.0
2011-09-19,10812.0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,11,75,130,38,12042.0,12331.0,12574.0,11753.0,10744.0,11131.0,10837.0,10581.0,10008.0
2011-09-26,9656.0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,8,77,133,39,10392.0,12042.0,12331.0,12574.0,11753.0,10744.0,11131.0,10837.0,10581.0
2011-10-03,10119.0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,15,77,135,40,10053.0,10392.0,12042.0,12331.0,12574.0,11753.0,10744.0,11131.0,10837.0
2011-10-10,14069.0,0,0,0,47,0,0,0,0,0,0,8,0,0,0,17,77,139,41,9639.0,10053.0,10392.0,12042.0,12331.0,12574.0,11753.0,10744.0,11131.0
2011-10-17,13784.0,0,0,0,49,0,0,0,0,0,0,8,0,0,0,10,77,138,42,10812.0,9639.0,10053.0,10392.0,12042.0,12331.0,12574.0,11753.0,10744.0
2011-10-24,11903.0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,78,137,43,9656.0,10812.0,9639.0,10053.0,10392.0,12042.0,12331.0,12574.0,11753.0
2011-10-31,11350.0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,0,78,139,44,10119.0,9656.0,10812.0,9639.0,10053.0,10392.0,12042.0,12331.0,12574.0
2011-11-07,12417.0,46,6,27,0,0,0,0,0,0,0,0,0,0,0,0,80,137,45,14069.0,10119.0,9656.0,10812.0,9639.0,10053.0,10392.0,12042.0,12331.0
2011-11-14,12659.0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,133,46,13784.0,14069.0,10119.0,9656.0,10812.0,9639.0,10053.0,10392.0,12042.0
2011-11-21,10865.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,128,47,11903.0,13784.0,14069.0,10119.0,9656.0,10812.0,9639.0,10053.0,10392.0
2011-11-28,11383.0,42,13,29,0,0,0,0,0,0,0,0,0,0,0,0,80,129,48,11350.0,11903.0,13784.0,14069.0,10119.0,9656.0,10812.0,9639.0,10053.0
2011-12-05,14669.0,51,15,31,0,0,0,0,0,0,0,0,0,0,0,0,81,135,49,12417.0,11350.0,11903.0,13784.0,14069.0,10119.0,9656.0,10812.0,9639.0
2011-12-12,12717.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,131,50,12659.0,12417.0,11350.0,11903.0,13784.0,14069.0,10119.0,9656.0,10812.0
2011-12-19,11228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,134,51,10865.0,12659.0,12417.0,11350.0,11903.0,13784.0,14069.0,10119.0,9656.0
2011-12-26,10436.0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,82,130,52,11383.0,10865.0,12659.0,12417.0,11350.0,11903.0,13784.0,14069.0,10119.0
2012-01-02,9525.0,0,0,0,45,0,0,0,0,0,0,0,32,0,0,6,82,127,1,14669.0,11383.0,10865.0,12659.0,12417.0,11350.0,11903.0,13784.0,14069.0
2012-01-09,12175.0,47,14,0,49,0,0,0,0,9,9,0,32,12,0,8,84,139,2,12717.0,14669.0,11383.0,10865.0,12659.0,12417.0,11350.0,11903.0,13784.0
2012-01-16,14072.0,44,22,0,0,0,0,0,0,9,9,0,33,14,0,9,82,134,3,11228.0,12717.0,14669.0,11383.0,10865.0,12659.0,12417.0,11350.0,11903.0
2012-01-23,11465.0,0,0,0,0,0,0,0,0,0,0,0,34,17,0,9,83,143,4,10436.0,11228.0,12717.0,14669.0,11383.0,10865.0,12659.0,12417.0,11350.0
2012-01-30,10160.0,0,0,0,0,0,0,0,0,0,0,12,7,8,0,2,82,140,5,9525.0,10436.0,11228.0,12717.0,14669.0,11383.0,10865.0,12659.0,12417.0
2012-02-06,11399.0,42,0,0,0,0,0,10,0,7,16,6,36,0,0,3,81,137,6,12175.0,9525.0,10436.0,11228.0,12717.0,14669.0,11383.0,10865.0,12659.0
